address,lat,lon
163 N 300 W,37.1088441,-113.5897045
"710 North 1300  East  St.George UT, 84770",37.1196234,-113.5552634
1111 W Black Mountain DR,,
2610 Pioneer Road,37.0634233,-113.587355
170 S street/1470 E Street,,
2970 W Lesina Heights DR,,
929 E Factory DR,37.0329055,-113.5663392
1272 W HUMMINGBIRD DR,,
2293 E PANORAMA PKWY,37.1210673,-113.5376137
6258 S Rock Rose DR,,
2356 E 130 N,37.1104913,-113.533431
350 W MAN O WAR RD,37.0521793,-113.5945403
496 N 1300 E ST,37.1176387,-113.5565424
1250 W Sunset BLVD UNIT A,,
2739 W Lugano WAY,,
51 N 660 W ST,,
1800 N St,37.1392872,-113.6333599
433 E Brigham RD,37.0576158,-113.5771385
4616 S Pioneer RD,,
5882 S Delorian LN,,
4291 E CARRERA WAY,,
301 S 1200 E #103,37.103863,-113.557841
5848 S LANSKY DR,,
1346 E HONEYCOMB CT,,
705 E 1100 S ST,37.0895934,-113.5609325
2969 W Varese WAY,,
1291 S 2580 E ST,37.0913068,-113.5313449
2240 W Sunbrook DR UNIT 6,,
520 Par 3 CIR,37.0702391,-113.5943811
1992 E Honeycomb DR,,
875 Rio Virgin Dr #126,,
888 W Camello LN,37.0020836,-113.6020311
892 W Camello LN,37.0020836,-113.6020311
896 W Camello LN,37.0020836,-113.6020311
900 W Camello LN,37.0020836,-113.6020311
904 W Camello LN,37.0020836,-113.6020311
2115 E Tawny Ridge DR,,
2671 E Rosedale DR,,
2655 E Rosedale DR,,
75 W 700 S,37.0962639,-113.566432
1083 S Quarb LN,,
1087 S Quarb LN,,
1079 S Quarb LN,,
473 N 2360 E ST,37.1165464,-113.5338082
1079 - 1091 S QUARB LN,,
1084 S Criollo LN,,
1088 S Criollo LN,,
5922 S White Rim CT,,
1091 S Quarb LN,,
32 S 1250 W ST,,
917 E Fort Pierce DR,37.074434,-113.5646674
3131 S 3170 E ST,37.0551522,-113.518332
1582 W GARNET RIDGE DR,37.0204473,-113.6166698
5017 S MOSAIC DR,37.0224149,-113.6174824
265 N DIXIE DR #34,,
1410 W 625 N ST,,
1055 E 900 S ST UNIT 13,,
1080 - 1092 S Criollo LN,,
1067 S Quarb LN,,
3503 E 2890 S ST,37.0592021,-113.5143809
1078 - 1090 S Quarb LN,,
2970 W Varese WAY,,
3171 E 2080 S ST,,
1059 - 1071 Quarb LN,,
1059 S Quarb LN,,
1063 S Quarb LN,,
1071 S Quarb LN,,
3012 W BOLSENA TRAIL,,
1090 S QUARB LN,,
1082 S QUARB LN,,
1078 S QUARB LN,,
1092 S Criollo LN,,
1080 S Criollo LN,,
5955 S Foothill Ridge DR,,
1151 E Hubbard PL,37.0725257,-113.5589797
1086 S QUARB LN,,
1093 S CRIOLLO LN,,
2669 E 3200 S ST,37.0541958,-113.5288691
707 N 950 W ST,,
1060 - 1068 Crillo LN,,
1621 S Flatrock Rd,,
1119 S CRIOLLO LN,,
1103 S CRIOLLO LN,,
6215 S Jakku LN,37.0017519,-113.5219131
1087 S CRIOLLO LN,,
1081 S CRIOLLO LN,,
1075 S CRIOLLO LN,,
491 W EMERALD POINT DR,,
6318 S Malachite CV,,
302 S Divario Canyon DR BLDG F,,
188 S RIVER RD,37.1017898,-113.5556595
1880 S 3210 East,37.0775007,-113.5177499
TBD West end of Black Mountain Drive,,
3260 E. Deseret Dr.,37.1167396,-113.5181654
1036 E MCKINLEY WAY,37.0732508,-113.562249
4137 S River Road,,
2531 E 1240 S CIR,37.086988,-113.5320007
1974 Rain Lilly Circle,,
1060 S Criollo LN,,
1064 S Criollo LN,,
1068 S Criollo LN,,
516 E Cedar Hill DR,37.0008812,-113.5958991
723 N Northstar DR,37.1181617,-113.6267233
2414 E 3670 S ST,37.0458672,-113.5341793
1072 S Criollo LN,,
1664 S Dixie Drive,37.0754774,-113.5869454
Anasazi Trail & Supai Trail,,
2169 S CARABINER WAY,37.0706344,-113.6208048
"234 E 500 S, St. George, UT",37.0997152,-113.5858613
2359 Apparation Ct.,37.0693213,-113.5658132
Lot 218 Fort Pierce Business Park,,
706 N 2200 E ST,37.1208139,-113.5365984
255 S 100 W ST,,
3039 E 2170 S ST,37.0713662,-113.5146129
4782 N Limber Pine DR,,
634 E Concord WY,37.0940859,-113.5705071
801 S Bluff ST STE A45,,
801 S Bluff ST STE A60,,
801 S Bluff ST STE A70,,
521 S ALBA DR,37.0992963,-113.6287471
298 S EAST RIDGE DR,37.0447537,-113.5712082
1165 E 900 S ST,,
801 S Bluff ST STE A85,,
801 S Bluff ST STE A80,,
1118 W BLACK MOUNTAIN DR,,
3070 E Seegmiller RD,,
3030 E Panther Way,,
"160 N 900 E ST , ST GEORGE UTAH",37.1110376,-113.5642081
"Lot 135, Progressive Drive",37.0319651,-113.5731057
2776 W PIATTO WAY,37.0993307,-113.6421467
2082 W 975 N ST,,
3035 E ANDALUSIAN LN,,
3039 E ANDALUSIAN LN,,
3047 E ANDALUSIAN LN,,
3053 E ANDALUSIAN LN,,
250 E 700 S ST,37.0962639,-113.566432
520 S Martignano WAY,37.0998656,-113.6404472
2994 W VARESE WAY,,
2993 W VARESE WAY,,
5911 S FOOTHILL RIDGE DR,,
2789 S Emily LN,,
3513 S Sugar Leo Rd - Pool,,
1289 W HAGEN CIR,,
4283 E CARRERA WAY,,
1160 W Junipero Serra Dr,,
917 E Fort Pierce Dr,37.074434,-113.5646674
911 S Willowbend DR,,
909 S Willowbend DR,,
905 S Willowbend DR,,
905 - 911 Willowbend DR,,
907 S Willowbend DR,,
678 S MOLVENO TRL,,
6255 S Irontree DR,,
2721 W Brenta WAY,37.0966608,-113.6401687
205 E 200 N ST,,
3081 W PLATANI TRL,,
TBD - Black Mountain Drive,,
1094 W Albertine LN,37.0732275,-113.6069114
1106 W Albertine LN,,
1102 W Albertine LN,37.0732275,-113.6069114
1098 W Albertine LN,37.0732275,-113.6069114
977 N Grand Teton LN,,
1090 W Albertine LN,37.0732275,-113.6069114
1090 - 1106 W Albertine LN,,
4907 N Alger Hollow LN,,
1443 W 320 N ST,37.1138404,-113.6135006
5096 N Long Sky DR,37.1973805,-113.6332887
723 N 1000 W ST,37.1209696,-113.6049632
TBD-Desert Color Parkway,,
"750 North 3050 East Street, St. George, Utah",,
3053 E BANDED HILLS DR,37.0459462,-113.5187786
2600 E Rosedale Dr,,
3357 S Fairway RD,,
1806 N DIXIE DOWNS RD #29,37.1411803,-113.6222159
2962 E CARMINE DR,37.0518175,-113.5236118
411 W 600 N ST,,
4009 S 2420 E ST,37.039691,-113.5350027
3022 E SHETLAND LN,,
2959 E ROWAN LN,,
6130 S Deserts Edge Dr,,
3048 E SHETLAND LN,,
3044 E SHETLAND LN,,
3040 E SHETLAND LN,,
3036 E SHETLAND LN,,
3032 E SHETLAND LN,,
3028 E SHETLAND LN,,
3028 -  3048 E SHETLAND LN,,
3024 E SHETLAND LN,,
3012 - 3024 E SHETLAND LN,,
3018 E SHETLAND LN,,
3014 E SHETLAND LN,,
3012 E SHETLAND LN,,
680 S Cecita WAY,37.0998703,-113.6453866
664 S Cecita WAY,37.0998703,-113.6453866
3076 W Orco LN,,
3375 E 2170 S ST,37.071416,-113.5144314
1026 S High Mesa CIR,37.0903537,-113.547646
648 S Cecita WAY,37.0998703,-113.6453866
3016 E SHETLAND LN,,
2992 W Orco LN,,
2733 W Piatto WAY,37.0993307,-113.6421467
506 S Martignano WAY,37.0998656,-113.6404472
1961 S 2530 E St,37.0746893,-113.5321498
150 S 400 E,37.1057896,-113.5960659
977 N Grand Teton Ln,,
1884 N CENTENNIAL DR,37.1408094,-113.635424
2329 S AUGUSTA DR,,
1069 S CRIOLLO LN,,
55 E 700 S ST UNIT 3,,
476 S Maggiore TRL,37.1002723,-113.6411165
1063 S CRIOLLO LN,,
1041 S CRIOLLO LN,,
1035 S CRIOLLO LN,,
1027 S CRIOLLO LN,,
929 W Sunset BLVD UNIT 1C,,
3087 W BOLSENA TRL,,
1389 E White Bluff DR,,
1055 S CRIOLLO LN,,
3051 E APPALOOSA LN,,
1717 W 680 S ST,37.0965491,-113.6196781
2953 E 3110 S ST,37.0556242,-113.5235862
494 W Avery LN,,
991 N. Grand Heights DR,37.1233706,-113.552501
3000 W Nemi LN,37.1060258,-113.6466112
1681 E Talus Way,37.0741101,-113.5487231
3073 Honey Locust CIR,37.0533831,-113.5576342
3045 E APPALOOSA LN,,
3037 E APPALOOSA LN,,
3033 E APPALOOSA LN,,
5414 N JOHNSON ARCH DR,37.20259,-113.6151869
"142 E 500 S, #4",,
4616 S Pioneer Road,,
2390 S DOVER WAY,37.0670057,-113.6042677
1731 S Convention Center Dr,37.0783579,-113.5823435
3584 S Turin LN,37.0473679,-113.5816648
3642 S Innsbruck LN,,
4610 S SIESTA DR,,
3012 Sugar Leo RD,37.0564521,-113.5955689
2777 S 3330 E ST,37.0603835,-113.5150275
2880 E 150 N ST,37.0559971,-113.5258435
3618 S Innsbruck LN,,
Fort Pierce Lot 205,37.0746519,-113.5537381
1382 E Foremaster DR,37.0962116,-113.552775
2627 S 2350 E ST,37.0641204,-113.535599
38 E Dakar Ln,37.0472698,-113.5829358
3595 S Turin LN,,
3052 N Snow Canyon PKWY UNIT 128,,
6207 S Matrix CIR,,
210 N MALL DR #115,37.1050466,-113.5416871
2321 W Courtyard DR,,
6268 S Rock Rose DR,,
5665 S WEEHAWKEN LN,,
1405 E EGRET DR,37.0364568,-113.6046832
1751 W Bonita Bay Dr,37.0231716,-113.6225608
4747 N SCORIA DR,,
2362 E SIEGEL LN,,
2380 E SIEGEL LN,,
2392 E SIEGEL LN,,
1059 S PIONEER HEIGHTS RD,37.0911799,-113.5485434
1173 W Snow Canyon Pkwy Unit 51,,
1401 E EGRET DR,37.0364568,-113.6046832
4443 S River RD STE 100,,
1397 E EGRET DR,,
642 W Saratoga Dr,,
2992 W LESINA HEIGHTS DR,,
2056 East Middleton Dr #41,37.1235164,-113.5410011
1393 - 1405 E Egret DR,,
1450 N Dixie Downs Rd #138,37.1324294,-113.623723
1393 E EGRET DR,,
639 S Mall DR,37.1050466,-113.5416871
4550 S Airport Parkway SGU hanger 56J,,
502 W Avery LN,,
3590 E 2930 S ST,37.0584584,-113.5200327
3422 E 2890 S ST,37.0592021,-113.5143809
5669 S WEEHAWKEN LN,,
915 N 1080 E ST BLDG B,,
1052 - 1074 S Quarb Ln,,
5677 S WEEHAWKEN LN,,
5673 S WEEHAWKEN LN,,
161 West 950 South #E12,,
361 W 500 N ST UNIT 2,,
1074 S QUARB LN,,
875 Rio Virgin Unit 255,,
984 W 4100 S ST,,
2157 S Carabiner WAY,,
1052 S QUARB LN,,
1056 S QUARB LN,,
1066 S QUARB LN,,
1070 S Quarb Ln,,
1210 W INDIAN HILLS DR UNIT 35,,
1062 S QUARB LN,,
2882 W INDIAN PEAKS CIR,,
3016 E Seegmiller DR,37.0612277,-113.5216582
2672 E SUNIVA WAY,,
6115 - 6121 S Cygnus DR,,
6121 S Cygnus DR,,
6119 S Cygnus DR,,
6117 S Cygnus DR,,
6115 S Cygnus DR,,
726 S Tech Ridge PKWY,37.1005328,-113.5937555
2132 W 1140 N ST,37.1281427,-113.628844
2775 E Rowan LN,,
2634 E Cedar Post LN,,
1779 S Point DR,37.0777114,-113.5574253
2158 W RIVERS EDGE LN,37.1080192,-113.6293177
2711 S 2460 E ST,,
2788 S 2880 E ST,37.0567754,-113.5272635
2886 E Rowan LN,,
448 S Tech Ridge Pkwy,37.1005314,-113.5936723
4012 S River RD UNIT 2F,,
2127 W Rivers Edge LN,37.1076058,-113.6288074
4333 S ASPEN GLOW DR,,
97 N 2710 E CIR,,
4890 S MORANE MANOR DR,,
2184 W AZZURRO CIR,37.0997223,-113.6295428
759 N DUSK DR,37.121241,-113.6273839
1930 W 350 N ST,37.1144506,-113.6249156
2391 Stone Crest Circle,37.0822008,-113.5354963
495 S Martignano WY,37.0998656,-113.6404472
3421 E 2890 S ST,37.0592021,-113.5143809
5926 S White Rim CT,,
1192 W Doonbeg DR,,
484 N Mall Dr,37.1025697,-113.5399584
2391 Stone Crest CIR,37.0822008,-113.5354963
Intersection of London Lane & Rio Road,,
2369 E Siegel Ln,,
Brigham Road - West of City Re-Use Center,,
416 W DAMASCUS DR,,
860 S VILLAGE RD UNIT P9,,
183 N MONTEREY DR,37.1112938,-113.6322012
922 E BRIGHAM RD UNIT 2C,,
3538 E RED PINE WAY,,
2757 E 3630 S ST,37.0464944,-113.5280402
4808 S Trademark DR STE 1,,
5836 S Lansky DR,,
876 W Camello LN,37.0020836,-113.6020311
868 W Camello LN,37.0020836,-113.6020311
862 W Camello LN,37.0020836,-113.6020311
854 W Camello LN,37.0020836,-113.6020311
854 - 880 W Camello LN,37.0020836,-113.6020311
2627 E 2450 S ST,37.066968,-113.5263118
1140 S 3000 E,37.0901297,-113.5225395
880 W Camello LN,37.0020836,-113.6020311
1942 N Serenity DR,37.1418982,-113.6370278
2397 S 1100 W ST,,
1422 E TAMARISK DR,37.0572622,-113.5530154
1186 E 900 S ST UNIT 17,,
2029 W Rising Sun DR,37.197444,-113.627589
2473 N La Casa CIR,37.1515611,-113.6313571
2156 S Rappel WAY,37.0713376,-113.619554
2552 W Sinagua TRL,37.1565813,-113.6372088
966 W Boxthorn DR,,
926 W Boxthorn DR,,
2259 Mountain View CIR,,
1095 S Carolina Marsh LN,,
2023 W 975 N ST,37.12504,-113.626859
5295 N Hidden Pinyon DR,37.2009261,-113.6131004
1696 Howard LN,37.0896509,-113.547513
1089 S Carolina Marsh LN,,
1077 S CAROLINA MARSH LN,,
1077 - 1095 S Carolina Marsh LN,,
2476 E Mountain Ledge Dr,37.0588228,-113.5363059
1085 S Carolina Marsh LN,,
3220 S 2150 E ST,,
1205 Willow DR,37.0530167,-113.5552642
2982 W Varese WAY,,
5944 S White Rim CT,,
2050 S Grandiflora RD,,
4621 S Wallace CIR,,
"4332 ENTERPRISE DR SAINT GEORGE, UT 84790",,
4292 E TRIUMPH WAY,,
621 N Daybreak DR,37.1188633,-113.6251919
1552 W FISH ROCK ROAD,37.1925685,-113.6175427
2889 E 2930 S ST,37.0578507,-113.5608889
518 S Eastridge Dr,37.1077635,-113.5512149
2376 N Kiva Trl,37.1488438,-113.6469119
1767 W Garnet Ridge Dr,37.0213502,-113.6206419
2731 S Tonaquint DR,37.0685754,-113.6053069
2568 E 2220 S St,37.0617079,-113.5383738
2315 S Crimson Cliffs WY,37.0706203,-113.5062501
1082 S 620 E ST,37.1188296,-113.5394121
801 S Bluff ST STE B70,,
3060 E 2170 S ST,,
2635 E Cultivator DR,,
1697 Phoenix DR,37.0933116,-113.620529
952 W Black Mountain DR,37.0226225,-113.6053135
1712 S 1380 W,37.0784841,-113.612427
4941 N Long Sky DR,37.1973805,-113.6332887
39 N Valley View Dr #30,,
2018 E WESTCLIFF DR,37.0571777,-113.5424866
3622 S LUPIN WAY,,
1603 S Agate CIR,37.0807767,-113.5340084
1683 W 3600 S ST,37.0469784,-113.6198802
2192 S 3010 E ST,,
2770 W Becco TRL,,
2768 W Becco TRL,,
2764 W Becco TRL,,
2760 W Becco TRL,,
145 Crystal Lakes Dr,37.1069508,-113.6280146
2025 E White Dome DR,37.0062904,-113.5473886
3498 S 2640 E ST,37.0487002,-113.5302381
2628 E Rosedale DR,,
1566 W WOODSVIEW LN,37.0997874,-113.6166412
482 S Maggiore TRL,37.1002723,-113.6411165
1329 W 490 N ST,37.1167986,-113.6118045
2689 W Trasimeno DR,37.0986666,-113.6412667
626 S Savio DR,,
2760 - 2770 W Becco TRL,,
1087 W DOONBEG DR,,
2869 E ASHWOOD LN,,
2625 E SUNIVA WAY,,
1427 E White Bluff DR,,
394 S Liri TRL,,
1986 W MONROE ST,37.1268374,-113.6268279
"4550 S Airport Pkwy #E, St. George, UT 84790",,
944 W BLOOMINGTON DR,37.052151,-113.6041607
2287 E 3350 S,37.0542627,-113.5145558
385 W BRIGHAM RD #15,37.0595691,-113.5838298
3541 E Banded Hills DR UNIT 104,,
875 N 2720 E ST STE D,,
2160 Chaco Trail,37.1459993,-113.6386389
714 S Alcantara CIR,,
798 S Walker WAY,37.0929988,-113.5997757
2629 W. SHOSHONI TRAIL,,
827 W SAVOY LN,,
1413 E WHITE BLUFF DR,,
4297 E Shelby LN,,
877 S WILLOWBEND DR,,
881 S WILLOWBEND DR,,
883 S WILLOWBEND DR,,
887 S WILLOWBEND DR,,
5954 S Foothill Ridge DR,,
4782 S Wallace DR,,
6292 S Aventurine CV,,
"887 S WILLOWBEND DR, 883 S WILLOWBEND DR,  881 S WILLOWBEND DR, 877 S WILLOWBEND DR",,
2832 W. SHOSHONI TRAIL,,
1664 S Dixie DR UNIT M103,,
1788 W 680 S ST,37.0966904,-113.6215067
2069 E Tagans WAY,,
1380 E Medical Center DR,37.0997445,-113.5501652
2127 E Circle Ridge DR,37.0577443,-113.5415719
6126 Beechwood DR,37.0047291,-113.5978707
5840 S Lansky DR,,
3677 E. Ashbury DR,,
4700 S Desert Color PKWY,37.0205314,-113.6019429
5310 S Blue Pearl Aly,,
352 E Riverside Dr Unit C1,,
6211 S Matrix CIR,,
2234 E 440 N CIR,,
1064 W Desert Sparrow DR,37.0371327,-113.6058399
3682 S SANTA ANITA DR,,
TBD-3000 East,,
5565 S Painted Ridge Pkwy,37.0078311,-113.6043814
646 N 2450 E ST 20,37.0668454,-113.5354849
1303 W. 2440 S ST,,
3093 S Nashua RD,,
2041 Vista CT,37.0734809,-113.5666783
2223 S Shellee Dr,37.0737383,-113.5521902
55 E 700 S ST UNIT 6,,
2398 E 480 N Cir,37.1164102,-113.5327638
106 E MILAN LN,,
1587 W Whitestone DR,37.0194588,-113.6168471
210 N Mall Dr Apt #115,,
1266 N 1650 W ST,37.1298405,-113.6191419
1173 W SNOW CANYON PKWY UNIT 3,,
3042 W BOLSENA TRL,,
946 S Willowbend DR,,
2255 N TUWEAP DR UNIT 49,37.1471688,-113.6293826
2663 E SUNIVA WAY,,
2085 N TUWEAP DR #38,37.1471688,-113.6293826
6117 S WHITE TRAILS DR,37.0059859,-113.5552133
973 W Somera DR,,
863 W SOMERA DR,,
3157 Deseret DR,37.1168999,-113.5196555
2736 E Cliff Shadow Dr,37.0419011,-113.5259862
948 S Willowbend DR,,
952 S Willowbend DR,,
956 S Willowbend DR,,
962 S Willowbend DR,,
968 S Willowbend DR,,
3066 W PLATANI TRL,,
2636 E Cultivator Dr,,
2462 S 2780 E ST,37.0759807,-113.5268351
3592 S TURIN LN,,
3599 S Turin LN,37.0473679,-113.5816648
6087 S WHITE TRAILS DR,37.0059859,-113.5552133
2939 E Mall Dr STE 150,,
946 - 968 S Willowbend DR,,
TBD 930 W 5000 S,,
Trademark Drive,,
2194 E 575 N,37.1181241,-113.5373811
1180 W Fandango CIR,,
2922 E 1190 S ST,37.0877014,-113.5257249
1019 S CRIOLLO LN,,
873 S Willowbend DR,,
869 S Willowbend DR,,
1298 E Hayrocks DR,37.0065326,-113.5535288
1449 E White Bluff DR,,
1402 E Hayrocks DR,37.0065326,-113.5535288
2908 W BLACKHAWK RIDGE CIR,,
96 E London LN,37.0458531,-113.5804722
1432 E Hayrocks DR,37.0065326,-113.5535288
5967 S Foothill Ridge DR,,
5989 S Foothill Ridge DR,,
2854 E Overlook DR,37.1133823,-113.524419
1552 E 1850 S ST,37.0761562,-113.5510124
4582 S Pioneer Rd,,
3224 S Walnut Canyon DR.,,
3202 S Walnut Canyon DR,,
2234 S 2100 E,37.0699588,-113.540752
951 S River Road,37.0133522,-113.5643388
Gap Wash,,
3170 S Tallow Tree DR,37.0518929,-113.5115653
2890 W INDIAN PEAKS CIR,,
801 S Bluff St STE B60,,
4798 S Desert Color PKWY,37.0205314,-113.6019429
665 S Cecita WAY,37.0998703,-113.6453866
3079 W Orco LN,,
3063 W Orco Ln,,
3112 E 2170 S ST,37.0713662,-113.5146129
603 W Belmont DR,37.0468981,-113.5942861
Canyon View Drive at Ostler Way,,
3004 W Orco LN,,
3531 E 2890 S ST,37.0592021,-113.5143809
1136 W 560 N,37.1180727,-113.6075546
1395 E White Bluff DR,,
3132 E Summit View LN,,
1235 W Desert Sparrow CIR,37.0372942,-113.6092875
4442 S Round Hill DR,,
199 W 2025 S Cir Unit 69,,
1795 Snow Canyon Parkway 3,37.1336585,-113.6059294
166 S MAIN ST,37.1147892,-113.5832452
1016 W Canyon Tree DR,37.1942965,-113.6201686
2393 E SIEGEL LN,,
709 - 719 W Vista Sur LN,,
719 W Vista Sur LN,,
717 W Vista Sur LN,,
715 W Vista Sur LN,,
713 W Vista Sur LN,,
711 W Vista Sur LN,,
709 W Vista Sur LN,,
3674 Pomegranate WY,37.0458689,-113.609234
646 N 2450 E ST UNIT 1,,
350 East 700 South,37.0962398,-113.5759254
524 S INDIAN HILLS DR UNIT 8,,
2686 E 2220 S St,37.0705037,-113.53213
4279 E CARRERA WAY,,
1236 W 540 N ST,37.1175157,-113.6099149
385 S  Five Sisters DR,37.1026768,-113.5453396
798 S 900 E,37.0940901,-113.5645729
265 N Dixie DR 35,,
3027 E Rimrunner DR,37.0011828,-113.5106866
2477 E 1190 S CIR,37.0878151,-113.5325214
545 E Alabaster CIR,,
856 W CRYSTAL CIR,,
946 W Sunset Blvd Suite G,,
6209 S Tracer CT,,
616 N 2330 E,37.1191124,-113.5338285
776 E ALABASTER RD,,
3172 E Deseret DR S,,
Approx: Alabaster Circle and Commerce Drive,,
4460 S Commerce Dr,37.0306751,-113.5715743
2911 E Rowan LN,,
2734 E 3630 S ST,37.0463277,-113.5284523
851 - 861 S WILLOWBEND DR,,
851 S WILLOWBEND DR,,
855 S WILLOWBEND DR,,
857 S WILLOWBEND DR,,
3382 S 2150 E ST,37.053305,-113.539851
545 S VALLEY VIEW DR UNIT 10,,
861 S WILLOWBEND DR,,
860 S VILLAGE RD #O-10,,
544 S 100 W ST 6,37.1752342,-113.2899949
4520 S IRONWOOD DR,,
3215 E RED CEDAR DR,37.0578108,-113.5173572
2685 E Cedar Post LN,,
1120 N 2000 W,37.1275589,-113.6264835
1210 W Indian Hills DR #35,,
3255 S 2150 E ST,,
1515 W GRAPEVINE DR,,
1484 W Sunset BLVD,37.1227949,-113.6157837
1559 S RIVER RD UNIT 1,,
1839 Canyon View Dr Unit 202,,
1472 W Sunset Blvd,37.1228284,-113.6154982
Desert Canyons Pkwy at Flowers Way,,
1019 S Criollo LN,,
1305 E Riverside Dr Unit 18,,
2797 S Grass Valley Dr,37.0616114,-113.5317566
971 W Bloomington Dr,37.050606,-113.605317
301 S 1200 E UNIT 98,,
3853 E Ara PKWY,37.0268834,-113.4958157
5980 S Foothill Ridge DR,,
1314 E Hayrocks DR,37.0065326,-113.5535288
5930 S WHITE RIM CT,,
1490 E Foremaster Dr Building A Suite 220,,
3292 Deseret Dr #B2,,
3631 Price Hill DR,,
4745 Beck Hill DR,,
Between Ft. Pierce Wash & Horseman Park Dr,,
1429 W 2130 S CIR,,
3485 E Ashbury DR,,
1483 W TOP ROPE CIR,37.0712076,-113.6152441
3677 E Ashbury Dr,,
2492 Arbor DR,37.0535037,-113.5317349
3516 E 2890 S,,
4643 S Pioneer RD,,
302 S Divario Canyon DR BLDG H,,
2928 E Seegmiller DR,37.0616974,-113.527932
4834 N Petroglyph DR,37.1907816,-113.6298103
25 E Dakar LN,37.0472698,-113.5829358
1662 W Red Cloud DR,37.1981974,-113.6202037
854 S WILLOWBEND DR,,
856 S WILLOWBEND DR,,
858 S WILLOWBEND DR,,
862 S WILLOWBEND DR,,
854 - 862 S Willowbend DR,,
2707 E 50 S.,37.107707,-113.528496
185 S 1470 E ST,,
2708 E SHALE CIRCLE,37.0803888,-113.5288169
915 N 1080 E ST BLDG A,,
3726 S 2640 E ST,37.0453547,-113.5301896
198 N 1240 W ST,37.1121528,-113.6102028
2864 S Magnolia LN,,
"1630 E 2450 S Unit 12 Saint George, UT",,
1751 West Chandler DR,37.068328,-113.617871
698 E 700 S ST,37.096287,-113.557754
455 N 500 W ST,,
1118 E Black Mountain DR UNIT V101,,
2764 E 410 N ST,37.1153883,-113.6127385
147 S JAYCEE DR,37.1055728,-113.6141365
4375 S Pioneer RD,37.0416803,-113.5968517
3588 E 2890 S ST,37.0592021,-113.5143809
3393 E 2450 S ST,37.0669131,-113.5153748
1681 E Talus WAY,37.0741101,-113.5487231
3100 W Tanaro TRL,,
39 N Valley View Dr #38,,
1357 S 2780 E ST,37.0957777,-113.5271262
3227 E Ashbury DR,,
748 E Benchmark Dr,,
2984 E Broken Mesa DR,37.0042939,-113.511535
2702 S 3210 E,37.067405,-113.517547
161 W 950 S ST UNIT E5,,
252 N 400 W ST UNIT 1,,
5992 S White Canyon DR,,
2990 N Wapatki TR,,
2231 E 3480 S ST,37.0492048,-113.5384076
2726 Auburn DR,37.0445511,-113.5283837
3178 E Tanoak Dr,37.0490693,-113.5182662
3553 East 2930 South,37.0584584,-113.5200327
1149 W Wickham DR,,
1678 W GREEN VALLEY LN,37.0993582,-113.6195148
1825 Mathis Park Pl Unit 17,37.1043802,-113.6223621
